Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_002,SE_A00002_001,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A10003_001,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A08001_001,SE_A08001_002,SE_A08001_003,SE_A08001_004,SE_A08001_005,SE_A08001_006,SE_A08002B_007,SE_A08002B_001,SE_A08002B_002,SE_A08002B_003,SE_A08002B_004,SE_A08002B_005,SE_A08002B_006
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000012",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169162,169162,105.968208915492,1596.3466942704,169162,83313,85849,169162,9170,11485,9887,7296,14597,22331,23589,23997,19816,14128,10628,2238,169162,146276,16213,651,778,0,3035,2209,,,,,,,,,,,,,,,,,,2.38,138620,31095,84821,1883,8501,12320,116727,15523,101204,63474,30094,10864,2083,725,,,,136376,80622,126,80496,76947,3549,55754,80496,76947,3549,70427,3858,3591,4133,4062,4592,6048,5028,3980,3894,5956,7473,7456,4739,2045,1889,1683,96349,70427,25922,51578,4949,1299,751,914,609,305,1985,1795,190,46629,37838,5130,32708,103073,11837,91236,26994,1102,25892,145732,12841,132891,,,,,,,,,,,,,,,,,,,,,,144864,12770,132094,166961,132349,17081,2674,14393,464,165704,39796,19926,9867,1473,8133,397
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112903,112903,185.554928375228,608.46133804481,112903,54329,58574,112903,7580,7705,6684,4471,11287,13952,15420,16350,12721,8720,5324,2689,112903,86986,22605,675,799,0,1027,811,,,,,,,,,,,,,,,,,,2.36,90934,19563,47099,2401,8194,13677,75176,16658,58518,33233,14006,6117,1352,359,,,,90222,53481,216,53265,47751,5514,36741,53265,47751,5514,46503,5531,3593,3627,3489,3636,2915,2107,2033,2517,4099,4367,4384,2065,873,760,507,53096,46503,6593,31500,4388,970,248,196,196,0,2974,2851,123,27112,26115,7752,18363,67012,9995,57017,16315,1920,14395,84703,11748,72955,21762,6716,15046,,,,,,,,,,,,,,,,,,,83710,11702,72008,111275,91225,12440,3151,4110,349,108139,28283,16768,7753,1830,1701,231
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80187,80187,108.591489756859,738.428031326786,80187,39663,40524,80187,5030,4154,5925,3136,7259,11222,11105,11009,9438,6404,3962,1543,80187,77518,1020,654,35,0,445,515,,,,,,,,,,,,,,,,,,2.5,65078,14616,33617,2361,5372,9112,54683,12148,42535,22467,6841,3094,704,183,,,,63824,39248,122,39126,36977,2149,24576,39126,36977,2149,30953,3727,2943,1839,2990,2488,1945,1726,1543,2076,2197,2612,2116,1184,509,586,472,36368,30953,5415,,,,,,,,,,,,18111,3414,14697,48911,7699,41212,10986,1687,9299,75937,12246,63691,,,,,,,,,,,,,,,,,,,,,,73698,11929,61769,79278,65423,8541,2538,2606,170,76441,22343,13645,6334,726,1614,24
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68014,68014,87.4313927765676,777.912805001413,68014,32570,35444,68014,3958,3835,5719,3261,5729,9646,9273,9778,7613,4864,3143,1195,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,54502,12823,30067,1540,3232,6840,45512,14800,30712,14908,4942,2081,280,141,,,,53164,30982,0,30982,28394,2588,22182,30982,28394,2588,24321,3335,2966,1598,2191,1817,2300,1748,781,1315,1321,1754,1898,810,338,114,35,28996,24321,4675,16995,2472,413,768,150,150,0,1141,1141,0,14523,16395,3895,12500,41981,5647,36334,8684,1720,6964,64024,10481,53543,,,,,,,,,,,,,,,,,,,,,,58105,9542,48563,67153,58096,6295,1128,1288,346,66577,14960,10093,4060,198,592,17
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75688,75688,121.83069156291,621.255605045274,75688,37731,37957,75688,4379,4498,6030,3339,7721,11653,11550,10543,7564,4591,2753,1067,75688,57437,15465,509,1135,0,920,222,,,,,,,,,,,,,,,,,,2.71,60781,16044,32431,1410,3060,7836,49721,8787,40934,21417,8524,2446,386,91,,,,59752,34340,394,33946,30808,3138,25412,33946,30808,3138,25334,1783,1342,1740,1103,1408,1401,589,1565,1152,3134,3425,3182,1884,810,518,298,28541,25334,3207,,,,,,,,,,,,18017,2752,15265,45061,6285,38776,7350,844,6506,54891,4844,50047,,,,,,,,,,,,,,,,,,,,,,54637,4814,49823,74767,61091,3669,8470,1464,73,67711,11870,7351,1409,2256,854,0
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103362,103362,193.264165701906,534.8223744666,103362,49595,53767,103362,6365,6378,6861,4261,9303,13902,13724,13977,12550,8054,5774,2213,103362,85581,15060,664,536,0,726,795,,,,,,,,,,,,,,,,,,2.33,83758,16028,46175,2170,7877,11508,70194,14152,56042,31355,11226,3868,700,30,5634,801,4833,82877,45409,147,45262,42534,2728,37468,45262,42534,2728,43335,5962,4235,3653,3840,2497,3652,2434,2471,1287,3467,3227,3646,2195,295,309,165,47928,43335,4593,30002,4375,665,488,590,412,178,2632,2274,358,25627,23072,5308,17764,62400,9525,52875,15579,1729,13850,83963,11230,72733,14367,4074,10293,,,,,,,,,,,,,,,,,,,82561,10907,71654,102491,84486,12653,3191,1913,248,99964,25153,17585,5401,827,1170,170
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95660,95660,164.828820609362,580.359670392295,95660,45458,50202,95660,6344,6687,6222,4335,8381,12136,12989,13928,11036,7137,4333,2132,95660,68154,24694,378,764,0,845,825,,,,,,,,,,,,,,,,,,2.61,76407,19925,38375,1588,6186,10333,63691,13554,50137,30292,12379,3945,1291,477,5193,447,4746,74899,44792,47,44745,42306,2439,30107,44745,42306,2439,36076,3793,3097,3166,2578,2556,2321,1621,1842,1510,2909,2954,3560,1728,680,1091,670,42783,36076,6707,24647,3195,483,480,263,173,90,1969,1833,136,21452,23563,5881,17682,57835,7991,49844,13064,1529,11535,67607,5877,61730,24043,9176,14867,,,,,,,,,,,,,,,,,,,67108,5631,61477,94339,82512,7392,1623,2506,306,92714,26411,20087,3849,949,1220,306
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656700,656700,590.235290897176,1112.60714180915,656700,311001,345699,656700,44901,43689,42998,28230,61632,80903,93648,100287,73135,42737,32875,11665,656700,366106,271412,988,8418,108,4368,5300,656700,639363,354733,270813,988,8308,108,49,4364,17337,11373,599,0,110,0,4319,936,2.43,525112,162287,241999,14868,39626,66332,435250,62674,372576,249655,122896,44427,17759,6612,35782,3018,32764,514931,324746,266,324480,299338,25142,190185,324480,299338,25142,263698,25185,19163,18024,17187,16517,15674,14350,14065,11570,22877,25031,26028,15242,7185,6929,8671,304668,263698,40970,170647,17864,1794,1887,1380,1021,359,12803,11720,1083,152783,158167,32141,126026,401496,50788,350708,84077,7789,76288,361174,27723,333451,263717,60349,203368,,,,,,,,,,,,,,,,,,,349801,24182,325619,647297,538499,79788,15549,11714,1747,631886,177989,115430,46988,7610,6951,1010
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87891,87891,131.286248094453,669.460825301121,87891,41662,46229,87891,5228,5285,4811,3640,10042,9972,11357,12956,10797,7144,4464,2195,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,72567,15884,42132,736,6059,7756,58885,9543,49342,29940,12908,3944,1406,455,,,,71167,40868,0,40868,38664,2204,30299,40868,38664,2204,35704,4403,3508,2379,2566,1767,1800,2315,1844,846,1894,3663,4485,2378,862,251,743,41884,35704,6180,25140,3292,1087,412,178,126,52,1615,1615,0,21848,18964,4946,14018,53494,9142,44352,12629,1157,11472,75198,11505,63693,,,,,,,,,,,,,,,,,,,,,,74681,11505,63176,86684,72929,6383,2121,4708,543,83880,17859,10235,3905,1137,2462,120
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125781,125781,206.635256891456,608.710255414311,125781,61899,63882,125781,7397,8426,7045,5007,27714,17086,16197,15417,10746,6196,3039,1511,125781,92072,29169,149,2405,0,570,1416,,,,,,,,,,,,,,,,,,2.32,102913,41432,45223,2721,4880,8657,70192,9586,60606,41842,22286,10038,4658,3143,,,,101400,64505,1025,63480,60284,3196,36895,63480,60284,3196,52223,8610,4873,3150,3181,2464,2335,1958,2093,2086,3780,5008,5694,3264,1999,765,963,58666,52223,6443,31283,3895,484,294,184,49,135,2933,2434,499,27388,27752,5244,22508,83094,16777,66317,10061,879,9182,88127,14875,73252,28240,7176,21064,,,,,,,,,,,,,,,,,,,86298,14500,71798,123932,94823,14118,7919,5721,1351,119181,34963,19001,7989,4409,3001,563
