Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A10003_001,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A08001_001,SE_A08001_002,SE_A08001_003,SE_A08001_004,SE_A08001_005,SE_A08001_006,SE_A08002B_007,SE_A08002B_001,SE_A08002B_002,SE_A08002B_003,SE_A08002B_004,SE_A08002B_005,SE_A08002B_006,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186717,186717,117.448025501391,1589.78407004202,186717,90102,96615,186717,10631,12897,11874,6876,13225,23402,23642,26857,25685,18366,9574,3688,186717,162171,18524,401,1464,0,1721,2436,,,,,,,,,,,,,,,,,,2.48,151315,33331,85091,2971,9311,20611,131214,12548,118666,79492,37114,12957,3063,1493,,,,148529,93840,221,93619,85257,8362,54689,93619,85257,8362,74460,4116,3805,4115,4545,4900,2929,4241,3773,4158,4974,8474,9373,5055,3936,4017,2049,104704,74460,30244,52198,5163,1114,513,1158,903,255,2378,2168,210,47035,41950,8355,33595,110982,14139,96843,31464,1727,29737,160708,14981,145727,,,,,,,,,,,,,,,,,,,,,,154005,14162,139843,184108,149442,20152,4747,7911,1856,181716,44819,21766,12959,3234,5666,1194,184756,22224,162532,56246,131341
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117797,117797,194.426942132673,605.867678151405,117797,56600,61197,117797,7169,7632,7727,4397,12725,14167,14429,16782,15344,9553,6166,1706,117797,88358,25428,147,110,0,1223,2531,,,,,,,,,,,,,,,,,,2.58,95269,26939,45346,3076,7666,12242,78147,18936,59211,35278,11858,4108,1146,519,,,,93539,54845,472,54373,47363,7010,38694,54373,47363,7010,44722,5155,3652,3445,3005,2970,2391,2190,2052,2715,3620,5283,3894,2259,945,512,634,53357,44722,8635,29735,4703,1029,550,35,35,0,3089,2624,465,25032,26447,9131,17316,71529,13141,58388,17132,2069,15063,86543,16635,69908,24724,7407,17317,,,,,,,,,,,,,,,,,,,84347,15672,68675,116022,98878,10656,2551,3866,71,113453,38310,27833,6372,1302,2803,0,116239,18163,98076,44529,71685
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80536,80536,109.596545420454,734.840680342921,80536,40082,40454,80536,4387,6155,4949,3096,6959,9312,9949,11955,10497,7658,4310,1309,80536,76442,992,455,351,40,968,1288,,,,,,,,,,,,,,,,,,2.49,65045,12042,40163,1718,4770,6352,54990,13017,41973,25559,7800,2922,967,106,,,,64388,36309,59,36250,32689,3561,28079,36250,32689,3561,31954,3836,2198,2858,2240,1396,2055,1383,1467,1018,2873,3540,3366,1972,755,742,255,37118,31954,5164,,,,,,,,,,,,18547,5998,12549,48101,6958,41143,13104,1784,11320,75745,13305,62440,,,,,,,,,,,,,,,,,,,,,,73300,11767,61533,79799,67843,6633,2960,2330,33,78820,19089,11487,4098,1727,1744,33,79860,10091,69769,27998,52048
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71375,71375,91.8486843595826,777.093330162147,71375,35045,36330,71375,4019,4137,4779,4343,5933,8125,9964,11598,8806,5614,3260,797,71375,64518,1466,818,107,0,2962,1504,,,,,,,,,,,,,,,,,,2.6,58440,12562,35238,1223,3445,5972,48164,12730,35434,18533,4791,2326,468,26,,,,56908,33281,0,33281,29227,4054,23627,33281,29227,4054,27139,2807,2881,1484,1980,2145,1586,2056,1312,1763,2149,2155,2899,492,346,358,726,31336,27139,4197,21046,3301,1102,296,350,193,157,1553,1357,196,17745,17087,4247,12840,44148,7605,36543,9315,1341,7974,63863,10365,53498,,,,,,,,,,,,,,,,,,,,,,57093,9727,47366,70781,64660,3921,1092,924,184,69945,13020,10087,2302,311,177,143,70735,13845,56890,22064,43589
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80162,80162,129.610355078552,618.484533519074,80162,38798,41364,80162,4795,5562,5036,3079,7789,10284,11617,12372,10074,5831,2890,833,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,64769,16435,33551,2536,3906,8341,53901,7227,46674,29597,11624,3285,849,120,,,,63883,38421,401,38020,33862,4158,25462,38020,33862,4158,28469,2427,1431,1098,1481,1749,543,1233,1831,891,2994,3393,4062,2652,975,1042,667,33240,28469,4771,,,,,,,,,,,,17945,3867,14078,47201,5277,41924,9139,605,8534,57498,4292,53206,,,,,,,,,,,,,,,,,,,,,,57023,3961,53062,79319,66961,4165,6971,1222,0,73829,13682,8739,1133,2861,949,0,74403,7869,66534,20126,56404
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104303,104303,194.962326820513,534.990537407895,104303,50831,53472,104303,5835,6189,7337,4342,8678,12330,14004,14367,14462,9463,5432,1864,104303,84403,16328,173,856,220,1146,1177,,,,,,,,,,,,,,,,,,2.54,84942,21544,43793,2119,6927,10559,71922,12531,59391,36397,9968,4388,1386,208,,,,83362,43441,449,42992,38969,4023,39921,42992,38969,4023,40443,4673,3850,3634,3567,2670,2387,1604,1355,1200,4062,3021,3849,2091,1424,617,439,47353,40443,6910,29134,5085,1060,765,341,287,54,2919,2558,361,24049,23492,7246,16246,62922,12641,50281,16290,1670,14620,83160,12717,70443,15997,7362,8635,,,,,,,,,,,,,,,,,,,81061,12037,69024,102950,90764,8721,3003,462,0,101296,27150,19756,6190,1048,156,0,102674,14772,87902,38875,64796
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102369,102369,176.551788390576,579.824203046501,102369,48804,53565,102369,6674,7192,7043,3954,8401,12927,13390,14624,12875,8656,5090,1543,102369,71328,26489,323,701,17,1685,1826,102369,99206,70008,26420,311,701,0,40,1726,3163,1320,69,12,0,17,1645,100,2.59,81460,21396,40826,2171,5864,11203,69105,11224,57881,33621,13521,4752,1671,545,4887,302,4585,80080,49037,113,48924,44762,4162,31043,48924,44762,4162,39118,3752,2432,3198,2393,3001,2152,2532,1576,1925,3247,3834,3799,2163,1096,892,1126,45703,39118,6585,26666,3639,386,254,199,155,44,2800,2547,253,23027,24530,7234,17296,61746,9088,52658,15090,1202,13888,70734,7409,63325,26092,8858,17234,,,,,,,,,,,,,,,,,,,69423,7134,62289,101392,88752,7989,1880,2676,95,100403,33751,24701,5905,1258,1868,19,101547,14078,87469,34527,65439
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658931,658931,592.949725082727,1111.27633950428,658931,310328,348603,658931,44425,39477,45157,25586,63358,95319,81580,92314,84839,45153,28921,12802,658931,346566,278920,1694,10395,26,17302,4028,658931,632453,338469,277709,1567,10313,26,341,4028,26478,8097,1211,127,82,0,16961,0,2.52,529872,172111,238985,14316,38335,66125,440928,59330,381598,266563,130537,50609,19126,7320,33811,2358,31453,521003,320232,366,319866,282181,37685,200771,319866,282181,37685,255059,26113,17560,16049,17754,16190,14122,13206,12944,9829,18890,22913,25964,16763,8642,8434,9686,299520,255059,44461,164044,23632,4052,2945,1894,1318,576,14741,12086,2655,140412,152518,42146,110372,408158,69042,339116,84039,9245,74794,337784,29788,307996,273777,80439,193338,,,,,,,,,,,,,,,,,,,330098,28264,301834,649047,538564,75226,21619,10817,2821,633761,219657,140958,56801,13638,5772,2488,651402,86927,564475,202572,430280
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92781,92781,138.956679489374,667.697302072442,92781,44603,48178,92781,5264,4053,6670,3960,10370,9941,11805,12462,12227,8953,4445,2631,92781,80740,10110,155,627,0,334,815,,,,,,,,,,,,,,,,,,2.31,76794,19291,39222,1356,6804,10121,62464,10484,51980,30867,13827,5481,1615,903,,,,75546,43388,0,43388,41039,2349,32158,43388,41039,2349,39331,4141,2957,1889,2611,3353,2704,1953,2099,1958,2711,4636,4171,2018,698,1086,346,44033,39331,4702,24071,2472,355,464,288,169,119,1365,1178,187,21599,19545,3617,15928,55470,8322,47148,15528,1517,14011,79104,10199,68905,,,,,,,,,,,,,,,,,,,,,,77435,9734,67701,91542,79760,8186,1544,1910,142,89539,20957,13683,5464,549,1196,65,92104,10154,81950,29996,64222
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143468,143468,236.145042648875,607.541866603243,143468,71561,71907,143468,8849,9184,8094,5159,31720,19164,17531,16345,14053,7959,3922,1488,143468,101250,33808,65,4044,0,1854,2447,,,,,,,,,,,,,,,,,,2.46,117341,47675,52977,2213,4339,10137,80462,11227,69235,47025,26239,11107,4405,2893,,,,116445,71546,1265,70281,62816,7465,44899,70281,62816,7465,56274,8108,4235,2293,3726,2870,2881,1908,4051,2987,3850,5474,6112,3680,1598,1308,1193,63483,56274,7209,33328,4026,739,438,351,162,189,2498,1623,875,29302,30968,5075,25893,94143,25454,68689,13136,1115,12021,97451,21333,76118,32656,8731,23925,,,,,,,,,,,,,,,,,,,96083,20957,75126,141475,106583,16577,8702,8208,1405,136245,50417,26778,11110,5695,5592,1242,141163,17749,123414,31218,103916
