Geography,Cases,Rate per 100000
"Autauga County, AL","294","531.2"
"Baldwin County, AL","34","16.7"
"Barbour County, AL","18","68.0"
"Bibb County, AL","12","53.1"
"Blount County, AL","522","905.1"
"Bullock County, AL","65","607.7"
"Butler County, AL","475","2356.9"
"Calhoun County, AL","190","164.3"
"Chambers County, AL","52","152.4"
"Cherokee County, AL","168","649.7"
"Chilton County, AL","278","632.6"
"Choctaw County, AL","78","592.3"
"Clarke County, AL","5","20.3"
"Clay County, AL","11","81.2"
"Cleburne County, AL","9","59.9"
"Coffee County, AL","358","699.1"
"Colbert County, AL","375","689.9"
"Conecuh County, AL","53","418.2"
"Coosa County, AL","32","298.4"
"Covington County, AL","242","639.6"
"Crenshaw County, AL","219","1568.4"
"Cullman County, AL","301","367.1"
"Dale County, AL","257","518.5"
"Dallas County, AL","96","233.4"
"Dekalb County, AL","46","64.7"
"Elmore County, AL","218","267.6"
"Escambia County, AL","101","267.3"
"Etowah County, AL","4,348","4219.0"
"Fayette County, AL","12","71.6"
"Franklin County, AL","17","53.6"
"Geneva County, AL","106","395.9"
"Greene County, AL","16","188.7"
"Hale County, AL","343","2276.3"
"Henry County, AL","18","104.5"
"Houston County, AL","165","158.4"
"Jackson County, AL","171","326.2"
"Jefferson County, AL","225","34.1"
"Lamar County, AL","6","43.2"
"Lauderdale County, AL","196","211.7"
"Lawrence County, AL","77","232.5"
"Lee County, AL","104","66.2"
"Limestone County, AL","113","123.3"
"Lowndes County, AL","278","2658.3"
"Macon County, AL","111","581.0"
"Madison County, AL","229","64.9"
"Marengo County, AL","90","449.4"
"Marion County, AL","27","89.5"
"Marshall County, AL","36","38.0"
"Mobile County, AL","2,189","527.0"
"Monroe County, AL","59","272.2"
"Montgomery County, AL","357","157.6"
"Morgan County, AL","262","219.1"
"Perry County, AL","551","5708.7"
"Pickens County, AL","17","81.5"
"Pike County, AL","75","227.0"
"Randolph County, AL","129","568.4"
"Russell County, AL","1,516","2541.1"
"St. Clair County, AL","23","26.4"
"Shelby County, AL","72","34.5"
"Sumter County, AL","42","320.5"
"Talladega County, AL","2,065","2553.7"
"Tallapoosa County, AL","179","438.3"
"Tuscaloosa County, AL","1,213","594.7"
"Walker County, AL","47","72.0"
"Washington County, AL","7","41.7"
"Wilcox County, AL","59","533.5"
"Winston County, AL","22","92.1"
"Aleutians East Borough, AK","6","179.6"
"Aleutians West Census Area, AK","18","315.7"
"Anchorage Municipality, AK","2,472","827.6"
"Bethel Census Area, AK","520","2897.6"
"Bristol Bay Borough, AK","4","448.4"
"Denali Borough, AK","4","208.4"
"Dillingham Census Area, AK","66","1320.8"
"Fairbanks North Star Borough, AK","697","699.6"
"Haines Borough, AK","3","118.4"
"Hoonah-Angoon Census Area, AK","Data not available","Data not available"
"Juneau City and Borough, AK","162","494.6"
"Kenai Peninsula Borough, AK","218","375.5"
"Ketchikan Gateway Borough, AK","68","496.0"
"Kodiak Island Borough, AK","63","453.6"
"Lake and Peninsula Borough, AK","15","959.7"
"Matanuska-Susitna Borough, AK","434","429.3"
"Nome Census Area, AK","218","2214.1"
"North Slope Borough, AK","78","805.2"
"Northwest Arctic Borough, AK","187","2412.3"
"Petersburg Census Area, AK","Data not available","Data not available"
"Prince of Wales-Hyder Census Area, AK","Data not available","Data not available"
"Prince of Wales - Outer Ketchikan, AK","28","441.6"
"Sitka City and Borough, AK","49","552.9"
"Skagway Municipality, AK","Data not available","Data not available"
"Skagway-Hoonah-Angoon, AK","4","125.4"
"Southeast Fairbanks Census Area, AK","18","263.2"
"Valdez-Cordova Census Area, AK","30","320.4"
"Wrangell City and Borough, AK","Data not available","Data not available"
"Wrangell-Petersburg Census Area, AK","0","0.0"
"Yakutat City and Borough, AK","4","652.5"
"Yukon-Koyukuk Census Area, AK","67","1210.9"
"Apache County, AZ","673","941.6"
"Cochise County, AZ","425","336.2"
"Coconino County, AZ","1,048","753.4"
"Gila County, AZ","161","302.9"
"Graham County, AZ","124","329.2"
"Greenlee County, AZ","33","346.3"
"La Paz County, AZ","76","377.1"
"Maricopa County, AZ","22,134","531.1"
"Mohave County, AZ","434","212.0"
"Navajo County, AZ","806","744.4"
"Pima County, AZ","5,819","576.1"
"Pinal County, AZ","1,433","352.4"
"Santa Cruz County, AZ","200","430.5"
"Yavapai County, AZ","476","214.2"
"Yuma County, AZ","1,081","529.2"
"Arkansas County, AR","101","547.9"
"Ashley County, AR","112","537.5"
"Baxter County, AR","100","243.6"
"Benton County, AR","749","300.0"
"Boone County, AR","119","319.7"
"Bradley County, AR","57","513.8"
"Calhoun County, AR","18","344.2"
"Carroll County, AR","59","213.0"
"Chicot County, AR","78","707.4"
"Clark County, AR","163","720.2"
"Clay County, AR","30","198.6"
"Cleburne County, AR","59","231.7"
"Cleveland County, AR","30","361.0"
"Columbia County, AR","212","879.2"
"Conway County, AR","81","385.4"
"Craighead County, AR","709","679.4"
"Crawford County, AR","213","345.2"
"Crittenden County, AR","553","1129.4"
"Cross County, AR","145","838.9"
"Dallas County, AR","44","578.6"
"Desha County, AR","86","718.8"
"Drew County, AR","125","665.7"
"Faulkner County, AR","669","550.4"
"Franklin County, AR","67","378.5"
"Fulton County, AR","23","188.5"
"Garland County, AR","437","449.7"
"Grant County, AR","59","325.9"
"Greene County, AR","189","427.6"
"Hempstead County, AR","187","846.8"
"Hot Spring County, AR","175","523.5"
"Howard County, AR","86","646.6"
"Independence County, AR","140","377.8"
"Izard County, AR","37","275.2"
"Jackson County, AR","94","542.2"
"Jefferson County, AR","983","1373.6"
"Johnson County, AR","82","313.7"
"Lafayette County, AR","55","786.2"
"Lawrence County, AR","55","327.8"
"Lee County, AR","78","808.3"
"Lincoln County, AR","48","347.3"
"Little River County, AR","76","609.4"
"Logan County, AR","81","373.0"
"Lonoke County, AR","333","464.8"
"Madison County, AR","36","228.3"
"Marion County, AR","38","234.8"
"Miller County, AR","432","983.9"
"Mississippi County, AR","485","1108.9"
"Monroe County, AR","52","702.8"
"Montgomery County, AR","16","178.4"
"Nevada County, AR","69","806.3"
"Newton County, AR","20","252.7"
"Ouachita County, AR","205","841.6"
"Perry County, AR","27","265.0"
"Phillips County, AR","167","855.8"
"Pike County, AR","35","323.4"
"Poinsett County, AR","109","453.4"
"Polk County, AR","53","262.2"
"Pope County, AR","280","441.7"
"Prairie County, AR","20","241.2"
"Pulaski County, AR","3,356","854.7"
"Randolph County, AR","54","309.1"
"St. Francis County, AR","237","891.3"
"Saline County, AR","379","322.7"
"Scott County, AR","34","323.4"
"Searcy County, AR","19","241.5"
"Sebastian County, AR","583","456.3"
"Sevier County, AR","66","381.7"
"Sharp County, AR","35","207.0"
"Stone County, AR","14","112.4"
"Union County, AR","271","675.1"
"Van Buren County, AR","27","161.0"
"Washington County, AR","1,385","614.3"
"White County, AR","343","433.3"
"Woodruff County, AR","34","504.4"
"Yell County, AR","59","271.7"
"Alameda County, CA","8,166","498.5"
"Alpine County, CA","4","360.4"
"Amador County, CA","95","256.7"
"Butte County, CA","1,284","569.6"
"Calaveras County, CA","86","191.8"
"Colusa County, CA","70","325.9"
"Contra Costa County, CA","5,205","462.0"
"Del Norte County, CA","63","231.2"
"El Dorado County, CA","446","241.8"
"Fresno County, CA","6,473","664.0"
"Glenn County, CA","109","389.0"
"Humboldt County, CA","751","553.3"
"Imperial County, CA","872","483.9"
"Inyo County, CA","73","399.8"
"Kern County, CA","6,307","714.9"
"Kings County, CA","860","569.7"
"Lake County, CA","286","442.8"
"Lassen County, CA","73","232.9"
"Los Angeles County, CA","59,116","581.3"
"Madera County, CA","768","495.5"
"Marin County, CA","771","295.2"
"Mariposa County, CA","40","228.2"
"Mendocino County, CA","331","377.6"
"Merced County, CA","1,203","448.1"
"Modoc County, CA","22","245.4"
"Mono County, CA","33","237.3"
"Monterey County, CA","1,806","416.2"
"Napa County, CA","440","308.9"
"Nevada County, CA","252","254.9"
"Orange County, CA","12,827","404.7"
"Placer County, CA","962","256.3"
"Plumas County, CA","60","325.9"
"Riverside County, CA","8,586","363.7"
"Sacramento County, CA","8,525","567.8"
"San Benito County, CA","187","318.1"
"San Bernardino County, CA","11,495","540.1"
"San Diego County, CA","18,937","573.9"
"San Francisco County, CA","8,175","945.3"
"San Joaquin County, CA","3,801","523.5"
"San Luis Obispo County, CA","1,144","406.5"
"San Mateo County, CA","2,577","336.8"
"Santa Barbara County, CA","2,299","516.9"
"Santa Clara County, CA","6,979","363.9"
"Santa Cruz County, CA","990","361.1"
"Shasta County, CA","663","369.3"
"Sierra County, CA","2","67.4"
"Siskiyou County, CA","102","234.2"
"Solano County, CA","2,366","542.5"
"Sonoma County, CA","1,889","376.2"
"Stanislaus County, CA","2,404","446.5"
"Sutter County, CA","333","345.2"
"Tehama County, CA","248","391.7"
"Trinity County, CA","28","214.2"
"Tulare County, CA","2,620","569.7"
"Tuolumne County, CA","139","258.8"
"Ventura County, CA","2,597","305.3"
"Yolo County, CA","959","450.2"
"Yuba County, CA","256","343.7"
"Adams County, CO","2,511","511.1"
"Alamosa County, CO","94","569.8"
"Arapahoe County, CO","3,472","550.2"
"Archuleta County, CO","33","267.2"
"Baca County, CO","2","55.3"
"Bent County, CO","20","343.1"
"Boulder County, CO","1,241","388.6"
"Broomfield County, CO","211","324.3"
"Chaffee County, CO","28","150.1"
"Cheyenne County, CO","9","492.1"
"Clear Creek County, CO","21","225.7"
"Conejos County, CO","25","307.5"
"Costilla County, CO","13","362.7"
"Crowley County, CO","10","179.8"
"Custer County, CO","5","112.5"
"Delta County, CO","66","220.2"
"Denver County, CO","6,300","923.0"
"Dolores County, CO","11","556.1"
"Douglas County, CO","545","169.1"
"Eagle County, CO","159","296.6"
"Elbert County, CO","36","145.5"
"El Paso County, CO","3,742","554.8"
"Fremont County, CO","99","212.0"
"Garfield County, CO","236","406.2"
"Gilpin County, CO","7","120.1"
"Grand County, CO","38","260.0"
"Gunnison County, CO","50","311.2"
"Hinsdale County, CO","1","129.2"
"Huerfano County, CO","16","246.5"
"Jackson County, CO","2","147.5"
"Jefferson County, CO","1,161","205.3"
"Kiowa County, CO","1","70.3"
"Kit Carson County, CO","15","193.3"
"Lake County, CO","22","293.9"
"La Plata County, CO","202","369.4"
"Larimer County, CO","1,226","367.5"
"Las Animas County, CO","51","362.8"
"Lincoln County, CO","5","90.0"
"Logan County, CO","61","276.8"
"Mesa County, CO","548","369.0"
"Mineral County, CO","0","0.0"
"Moffat County, CO","29","224.2"
"Montezuma County, CO","189","722.3"
"Montrose County, CO","151","368.8"
"Morgan County, CO","111","391.4"
"Otero County, CO","65","354.4"
"Ouray County, CO","1","21.3"
"Park County, CO","18","109.0"
"Phillips County, CO","7","161.0"
"Pitkin County, CO","48","269.9"
