Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A10003_001,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17002_001,SE_A17002_002,SE_A17002_003,SE_A17002_004,SE_A17002_005,SE_A17002_006,SE_A17002_007,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A08001_001,SE_A08001_002,SE_A08001_003,SE_A08001_004,SE_A08001_005,SE_A08001_006,SE_A08002B_007,SE_A08002B_001,SE_A08002B_002,SE_A08002B_003,SE_A08002B_004,SE_A08002B_005,SE_A08002B_006,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00 ","ACSSF","0000013",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203709,203709,128.134325636297,1589.80818752828,203709,100230,103479,203709,10004,13487,13481,7918,15081,23734,25431,27309,27283,24751,10536,4694,203709,174923,23049,1917,303,0,1383,2134,,,,,,,,,,,,,,,,,,2.78,166737,43945,80976,5203,12723,23890,143738,13219,130519,84945,42400,12237,4189,1350,,,,164125,92610,36,92574,87864,4710,71515,92574,87864,4710,72269,3787,4331,3475,4431,3288,4869,3895,2594,3361,8187,6156,8219,4869,3718,3065,4024,108580,72269,36311,45858,3448,1229,665,277,277,0,1277,1006,271,42410,44432,7995,36437,116816,15019,101797,39292,2644,36648,172943,19212,153731,,,,,,,,,,,,,,,,,,,,,,166688,19072,147616,201489,180002,12482,4514,4428,63,198350,48668,39094,6098,1446,2030,0,201190,16351,184839,79718,134503
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00 ","ACSSF","0000014",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115620,115620,190.827008272205,605.889077478351,115620,55821,59799,115620,6126,7448,6929,4997,11733,14555,14278,14849,16176,10936,5779,1814,115620,86053,22709,176,1229,0,1787,3666,,,,,,,,,,,,,,,,,,2.54,95117,29468,43304,3603,7052,11690,78387,14107,64280,40702,13561,5976,2093,814,,,,93323,52750,152,52598,47309,5289,40573,52598,47309,5289,44323,3537,3162,3579,3085,2664,2614,1840,2931,1249,4244,4423,5048,2926,1736,1111,174,53323,44323,9000,29438,4766,548,534,470,443,27,3214,3056,158,24672,25119,8070,17049,69244,12373,56871,18190,2021,16169,84126,11763,72363,21616,9648,11968,,,,,,,,,,,,,,,,,,,81870,10864,71006,114243,95490,11413,5109,2170,61,111146,35427,24621,8045,1787,974,0,114127,10106,104021,50889,73801
"01043","05000US01043","Cullman County, Alabama","Cullman County, Alabama","al","050","00 ","ACSSF","0000015",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82005,82005,111.586942783499,734.89781110955,82005,40271,41734,82005,4839,4169,6261,3129,6851,10062,10225,10919,10820,8847,4691,1192,82005,80309,475,99,218,0,598,306,,,,,,,,,,,,,,,,,,2.62,66736,13386,35436,1107,5638,11169,56756,9945,46811,24019,7252,2897,493,112,,,,66026,32350,0,32350,30898,1452,33676,32350,30898,1452,30798,3413,1971,2901,1607,2194,1504,2932,1952,928,1976,3043,3214,1383,461,775,544,37180,30798,6382,,,,,,,,,,,,18256,5337,12919,48260,10810,37450,14410,1731,12679,79263,17016,62247,,,,,,,,,,,,,,,,,,,,,,76381,15954,60427,81366,75878,3753,1054,584,97,80171,19597,17582,1810,151,54,0,81197,11425,69772,28936,50382
"01049","05000US01049","DeKalb County, Alabama","DeKalb County, Alabama","al","050","00 ","ACSSF","0000016",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71130,71130,91.5333195949934,777.094071478323,71130,35087,36043,71130,4331,5306,4848,3492,5646,8742,9216,9278,9316,6561,3429,965,71130,60748,1274,541,146,2319,4605,1497,,,,,,,,,,,,,,,,,,2.67,56645,16323,26339,1407,4519,8057,47507,14572,32935,15536,4760,2389,869,254,,,,55330,29884,0,29884,28220,1664,25446,29884,28220,1664,26247,3245,1827,2266,1855,1519,1867,1438,1390,1179,2209,2655,2916,870,272,272,467,31038,26247,4791,17721,2794,942,649,206,158,48,997,635,362,14927,17926,4111,13815,41788,8747,33041,10612,1564,9048,59950,11775,48175,,,,,,,,,,,,,,,,,,,,,,56567,10528,46039,70260,58581,5000,4317,2252,110,69303,22818,17125,2174,1926,1593,0,70371,10179,60192,27289,41076
"01051","05000US01051","Elmore County, Alabama","Elmore County, Alabama","al","050","00 ","ACSSF","0000017",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81468,81468,131.721231329896,618.487992994562,81468,39416,42052,81468,4573,4391,6763,3135,7206,10284,12014,11602,10022,7269,3153,1056,81468,61760,17971,7,207,0,166,1357,,,,,,,,,,,,,,,,,,2.61,65741,19134,33890,887,3480,8350,55400,8864,46536,27734,11494,3967,707,263,,,,64989,35166,349,34817,33209,1608,29823,34817,33209,1608,29615,2110,1139,1254,1814,1860,2237,995,1448,1236,2131,2848,3560,3561,961,1629,832,33572,29615,3957,,,,,,,,,,,,18853,3376,15477,47366,6091,41275,11168,1201,9967,59715,6813,52902,,,,,,,,,,,,,,,,,,,,,,57639,5423,52216,80623,70315,4627,3911,1642,128,76542,20509,14422,3519,1812,702,54,77038,5209,71829,27293,56006
"01055","05000US01055","Etowah County, Alabama","Etowah County, Alabama","al","050","00 ","ACSSF","0000018",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103057,103057,192.527651675062,535.284148034663,103057,49882,53175,103057,5705,6349,6560,3970,8922,11218,13742,13940,14484,10938,5392,1837,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,84443,23146,42046,2383,6298,10570,71551,11577,59974,37510,12375,4588,1605,631,,,,82860,45797,0,45797,43713,2084,37063,45797,43713,2084,39332,2527,2361,4000,2740,2689,2070,1989,2129,1890,3984,3610,5147,2486,653,670,387,47509,39332,8177,27549,4169,858,681,296,296,0,2334,2144,190,23380,22296,7334,14962,61866,9588,52278,17559,1491,16068,82633,13690,68943,17012,4464,12548,,,,,,,,,,,,,,,,,,,79624,12146,67478,102086,84523,12448,2421,2530,164,100726,27389,15475,9287,849,1696,82,102284,9736,92548,42323,64374
"01069","05000US01069","Houston County, Alabama","Houston County, Alabama","al","050","00 ","ACSSF","0000019",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104173,104173,179.662647466676,579.825586836696,104173,49975,54198,104173,6242,6664,7399,4243,8194,13774,12901,13965,13776,9907,5349,1759,104173,72292,27689,309,880,140,579,2284,104173,100650,70029,27418,309,801,93,23,1977,3523,2263,271,0,79,47,556,307,2.66,83868,25095,38568,2461,5876,11868,71431,9656,61775,38981,15193,6147,1638,597,4693,171,4522,82231,47561,197,47364,43651,3713,34670,47364,43651,3713,38870,3338,2622,2663,2309,2222,2419,2342,2107,2141,3076,3859,3577,2501,1100,1168,1426,46706,38870,7836,26058,3923,515,415,426,336,90,2567,2314,253,22135,24094,7135,16959,62097,10395,51702,16915,1154,15761,71574,8472,63102,27391,8993,18398,,,,,,,,,,,,,,,,,,,69311,7505,61806,102914,89889,7808,2376,2648,193,101984,37774,28691,5469,1763,1732,119,103308,10397,92911,39875,66801
"01073","05000US01073","Jefferson County, Alabama","Jefferson County, Alabama","al","050","00 ","ACSSF","0000020",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660367,660367,594.240717269112,1111.27861287388,660367,312183,348184,660367,42716,43836,40372,25361,58658,95958,83841,85384,87787,54791,27716,13947,660367,345005,282511,1260,10861,711,11996,8023,660367,635327,333633,280720,1179,10861,711,1020,7203,25040,11372,1791,81,0,0,10976,820,2.44,533443,184895,227753,13645,36336,70814,449424,48900,400524,282744,141898,54620,21350,8248,32265,1139,31126,524885,332242,564,331678,305944,25734,192643,331678,305944,25734,264781,24993,16463,15472,16940,12899,13806,12878,13215,8454,21345,24739,29741,19468,10666,11644,12058,306683,264781,41902,166887,23528,2753,2105,1628,1364,264,17042,14416,2626,143359,150721,39569,111152,402223,64859,337364,93857,10014,83843,337444,27340,310104,277302,78441,198861,,,,,,,,,,,,,,,,,,,326140,26064,300076,652639,540097,76242,17019,17363,1918,637429,227496,153930,51198,10129,11188,1051,653229,66909,586320,223973,446547
"01077","05000US01077","Lauderdale County, Alabama","Lauderdale County, Alabama","al","050","00 ","ACSSF","0000021",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92596,92596,138.679125391124,667.699624863127,92596,44598,47998,92596,4730,6100,4359,3475,10674,10011,10151,13150,12521,9813,5677,1935,92596,80447,9741,462,492,0,0,1454,,,,,,,,,,,,,,,,,,2.33,77407,20373,40000,976,7516,8542,63258,9021,54237,32930,14856,6297,1253,356,,,,75748,40128,93,40035,37628,2407,35620,40035,37628,2407,38762,2517,3956,2371,2535,2361,2539,1416,2847,1460,3389,4076,3470,1764,1340,1610,1111,44375,38762,5613,,,,,,,,,,,,18046,4393,13653,54961,10423,44538,16843,778,16065,78162,12005,66157,,,,,,,,,,,,,,,,,,,,,,76093,11274,64819,91073,79146,5419,3354,2973,181,88746,26208,20135,2244,2090,1739,0,91676,7342,84334,34906,64014
"01081","05000US01081","Lee County, Alabama","Lee County, Alabama","al","050","00 ","ACSSF","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156993,156993,258.402573831314,607.551997924315,156993,76952,80041,156993,8923,10317,9075,5317,31184,20248,19698,18113,17387,10024,5215,1492,156993,110378,36539,231,5714,0,1476,2655,,,,,,,,,,,,,,,,,,2.6,128678,49581,56354,2313,5326,15104,92177,7912,84265,62641,31583,12749,3952,2529,,,,127060,77927,513,77414,73205,4209,49133,77414,73205,4209,58191,7752,3614,3972,3173,1863,2734,2346,2819,2359,3972,6191,6743,3608,2328,2886,1831,66385,58191,8194,37772,5532,875,556,932,732,200,3169,3030,139,32240,33622,7155,26467,101688,24147,77541,16418,1928,14490,105572,20271,85301,36207,11651,24556,,,,,,,,,,,,,,,,,,,101053,19919,81134,155461,119568,17126,9429,8639,699,149932,56947,33642,11537,6568,4691,509,155898,13087,142811,43915,115268
