Geography,Cases,Rate per 100000
"Autauga County, AL","282","511.1"
"Baldwin County, AL","682","358.2"
"Barbour County, AL","195","718.0"
"Bibb County, AL","84","371.0"
"Blount County, AL","93","161.0"
"Bullock County, AL","101","952.3"
"Butler County, AL","150","735.0"
"Calhoun County, AL","803","684.7"
"Chambers County, AL","297","871.6"
"Cherokee County, AL","50","192.1"
"Chilton County, AL","155","354.7"
"Choctaw County, AL","75","553.8"
"Clarke County, AL","224","890.9"
"Clay County, AL","61","453.3"
"Cleburne County, AL","57","382.0"
"Coffee County, AL","328","641.0"
"Colbert County, AL","372","682.9"
"Conecuh County, AL","105","807.9"
"Coosa County, AL","52","464.5"
"Covington County, AL","191","505.1"
"Crenshaw County, AL","66","473.1"
"Cullman County, AL","255","317.3"
"Dale County, AL","276","548.4"
"Dallas County, AL","654","1528.9"
"Dekalb County, AL","212","298.8"
"Elmore County, AL","442","549.5"
"Escambia County, AL","210","552.1"
"Etowah County, AL","736","706.1"
"Fayette County, AL","84","495.3"
"Franklin County, AL","114","360.2"
"Geneva County, AL","122","451.8"
"Greene County, AL","115","1301.6"
"Hale County, AL","220","1428.5"
"Henry County, AL","98","568.1"
"Houston County, AL","810","783.7"
"Jackson County, AL","115","216.7"
"Jefferson County, AL","5,509","837.6"
"Lamar County, AL","50","350.8"
"Lauderdale County, AL","404","435.9"
"Lawrence County, AL","153","453.0"
"Lee County, AL","714","482.8"
"Limestone County, AL","244","279.4"
"Lowndes County, AL","119","1096.6"
"Macon County, AL","253","1235.4"
"Madison County, AL","1,723","502.8"
"Marengo County, AL","144","704.2"
"Marion County, AL","80","262.2"
"Marshall County, AL","245","260.0"
"Mobile County, AL","3,377","816.2"
"Monroe County, AL","121","535.8"
"Montgomery County, AL","2,882","1256.9"
"Morgan County, AL","594","494.5"
"Perry County, AL","154","1512.8"
"Pickens County, AL","148","764.7"
"Pike County, AL","347","1048.2"
"Randolph County, AL","92","406.6"
"Russell County, AL","423","732.2"
"St. Clair County, AL","192","225.5"
"Shelby County, AL","476","237.0"
"Sumter County, AL","175","1301.0"
"Talladega County, AL","604","737.2"
"Tallapoosa County, AL","197","478.6"
"Tuscaloosa County, AL","1,596","803.9"
"Walker County, AL","359","542.4"
"Washington County, AL","111","648.6"
"Wilcox County, AL","171","1504.6"
